generation,mutation_scale,train_fitness,train_mean_lines,train_median_lines,train_std_lines,train_mean_pieces,train_zero_rate,validation_fitness,validation_mean_lines,validation_median_lines,validation_std_lines,validation_mean_pieces,validation_zero_rate,weight_aggregate_height,weight_max_height,weight_holes,weight_bumpiness
13,0.22499999999999998,27.75634098830046,23.0,22.5,13.205112646244256,93.875,0.0,23.53573649682835,19.683333333333334,18.0,10.205377122978955,84.41666666666667,0.0,0.314498248067777,0.12776177066408928,0.32445135753084453,0.23328862373728923
14,0.21458333333333335,29.4657629462295,25.0,21.0,12.257650672131263,98.1875,0.0,24.258045890957373,20.066666666666666,19.0,9.115676363032836,85.31666666666666,0.0,0.5213198626117096,0.0808211602069038,0.13829018695569875,0.2595687902256877
15,0.20416666666666666,29.796360488129544,24.125,25.0,9.629868898380705,95.875,0.0,23.525160827812776,19.483333333333334,18.5,9.395906319006993,84.25,0.0,0.36264945422706785,0.10435798699708733,0.23951331487678537,0.2934792438990595
16,0.19375,28.472528127736666,23.625,21.5,8.94339840329167,94.0,0.0,23.997276368549908,19.916666666666668,18.5,8.93362872645949,85.15,0.0,0.4178219769850202,0.08262779187244829,0.2645824763612318,0.2349677547812996
17,0.18333333333333335,27.850492430504417,22.75,21.5,5.7282196186948,91.875,0.0,24.12217138503422,19.95,19.0,9.362024353738885,85.56666666666666,0.0,0.4054149070896958,0.06216929621807483,0.23840649093858482,0.29400930575364453
18,0.17291666666666666,26.530434010390923,21.5,22.0,8.108637370113428,89.5625,0.0,21.063144088542547,17.4,16.5,7.750698893218169,79.1,0.0,0.4016286471598793,0.10260621237852355,0.18127383986574483,0.3144913005958524
19,0.1625,26.788682817623098,21.875,21.0,6.460214779711275,90.25,0.0,22.533334014712267,18.766666666666666,16.5,6.532908149429998,82.15,0.0,0.449902178387505,0.04744038906565305,0.2468148870169174,0.25584254552992464
20,0.15208333333333335,30.440957952151695,24.9375,24.5,10.219275598103811,98.0,0.0,22.667460058755257,19.3,16.0,10.00383259889262,83.88333333333334,0.0,0.340058077450492,0.12458949378668793,0.2732585408780086,0.26209388788481147
21,0.14166666666666666,28.08705131103551,22.8125,22.5,6.700921112056163,92.8125,0.0,23.672892756625476,19.383333333333333,19.0,7.8530072088482274,83.9,0.0,0.47427892858062537,0.055094874673993995,0.21073171069619429,0.25989448604918636
22,0.13125,31.6706782431406,25.5625,26.0,7.382146960742518,99.375,0.0,24.075781725625227,19.85,19.0,8.68106176301801,85.13333333333334,0.0,0.42364388658910945,0.06811718779620586,0.24264977580985939,0.26558914980482534
23,0.12083333333333335,28.686217198644265,23.125,24.0,7.833222516946649,93.9375,0.0,20.923489645565496,17.283333333333335,16.5,8.031379430431336,78.83333333333333,0.0,0.3832307767109381,0.17191389599158532,0.22019479696966518,0.22466053032781147
24,0.11041666666666666,28.264882689930406,23.0,23.5,9.956153875869939,93.1875,0.0,21.604776920933098,18.116666666666667,16.0,8.41445515500294,80.63333333333334,0.0,0.3738150140238303,0.08948199768737174,0.32583302470265224,0.21086996358614574
25,0.1,27.487907670456526,22.5625,21.0,6.363654119293411,92.25,0.0,24.806847386471055,20.116666666666667,21.0,9.139824335778501,85.68333333333334,0.0,0.36561247875021907,0.0850265371976107,0.3121015078216989,0.23725947623047125
